"job_id","job_title","salary_year_avg","company_name","skills"
993485,"Apprenti(e) DATA Manager F/H/D","105650.0","Bosch Group","power bi"
629221,"Analytics Engineering Lead","108415.5","Swiss Re","python"
629221,"Analytics Engineering Lead","108415.5","Swiss Re","typescript"
629221,"Analytics Engineering Lead","108415.5","Swiss Re","spark"
409209,"Data Analyst (VBA, Tableau)","109000.0","Sun Life","sql"
409209,"Data Analyst (VBA, Tableau)","109000.0","Sun Life","python"
409209,"Data Analyst (VBA, Tableau)","109000.0","Sun Life","vba"
409209,"Data Analyst (VBA, Tableau)","109000.0","Sun Life","excel"
409209,"Data Analyst (VBA, Tableau)","109000.0","Sun Life","tableau"
1295896,"Product Data Analyst -  F/H","111175.0","Adevinta","sql"
1295896,"Product Data Analyst -  F/H","111175.0","Adevinta","python"
126075,"Business/data analyst","111175.0","Business & Decision","azure"
126075,"Business/data analyst","111175.0","Business & Decision","snowflake"
126075,"Business/data analyst","111175.0","Business & Decision","gcp"
126075,"Business/data analyst","111175.0","Business & Decision","qlik"
210254,"Data Analyst","111175.0","Nielsen","python"
210254,"Data Analyst","111175.0","Nielsen","vba"
210254,"Data Analyst","111175.0","Nielsen","excel"
210254,"Data Analyst","111175.0","Nielsen","power bi"
86553,"Data analyst (h/f) en CDI à Paris","111175.0","Sewan","sql"
86553,"Data analyst (h/f) en CDI à Paris","111175.0","Sewan","python"
86553,"Data analyst (h/f) en CDI à Paris","111175.0","Sewan","vba"
86553,"Data analyst (h/f) en CDI à Paris","111175.0","Sewan","php"
86553,"Data analyst (h/f) en CDI à Paris","111175.0","Sewan","excel"
673969,"Data Analyst Manager","111175.0","Binance","sql"
673969,"Data Analyst Manager","111175.0","Binance","nosql"
673969,"Data Analyst Manager","111175.0","Binance","java"
673969,"Data Analyst Manager","111175.0","Binance","r"
673969,"Data Analyst Manager","111175.0","Binance","sas"
673969,"Data Analyst Manager","111175.0","Binance","c++"
673969,"Data Analyst Manager","111175.0","Binance","vba"
673969,"Data Analyst Manager","111175.0","Binance","neo4j"
673969,"Data Analyst Manager","111175.0","Binance","tableau"
673969,"Data Analyst Manager","111175.0","Binance","sas"
205303,"Data Analyst, Risk User Experience","111175.0","Stripe","sql"
205303,"Data Analyst, Risk User Experience","111175.0","Stripe","python"
205303,"Data Analyst, Risk User Experience","111175.0","Stripe","spark"
205303,"Data Analyst, Risk User Experience","111175.0","Stripe","hadoop"
155170,"Data Analyst","111175.0","Contentsquare","sql"
155170,"Data Analyst","111175.0","Contentsquare","python"
155170,"Data Analyst","111175.0","Contentsquare","snowflake"
155170,"Data Analyst","111175.0","Contentsquare","tableau"
1180796,"Data Analyst, Growth","111175.0","Stripe","sql"
1180796,"Data Analyst, Growth","111175.0","Stripe","python"
1180796,"Data Analyst, Growth","111175.0","Stripe","spark"
1180796,"Data Analyst, Growth","111175.0","Stripe","hadoop"
1292435,"Data Analyst (H/F) - CDI","111175.0","Publicis Groupe","sql"
1292435,"Data Analyst (H/F) - CDI","111175.0","Publicis Groupe","bigquery"
1292435,"Data Analyst (H/F) - CDI","111175.0","Publicis Groupe","spark"
427074,"Data Analyst Product","111175.0","Aircall","sql"
427074,"Data Analyst Product","111175.0","Aircall","python"
427074,"Data Analyst Product","111175.0","Aircall","looker"
1034952,"Product Data Analyst (F/M/X)","111175.0","iAdvize","sql"
1034952,"Product Data Analyst (F/M/X)","111175.0","iAdvize","python"
1034952,"Product Data Analyst (F/M/X)","111175.0","iAdvize","bigquery"
1034952,"Product Data Analyst (F/M/X)","111175.0","iAdvize","airflow"
1034952,"Product Data Analyst (F/M/X)","111175.0","iAdvize","kafka"
1034952,"Product Data Analyst (F/M/X)","111175.0","iAdvize","tableau"
155735,"Data Analyst","111175.0","Voodoo","sql"
155735,"Data Analyst","111175.0","Voodoo","excel"
85219,"BI & Data Analyst - Team Performance Dashboard (f/m/x)","111175.0","Adevinta","python"
85219,"BI & Data Analyst - Team Performance Dashboard (f/m/x)","111175.0","Adevinta","go"
85219,"BI & Data Analyst - Team Performance Dashboard (f/m/x)","111175.0","Adevinta","cassandra"
85219,"BI & Data Analyst - Team Performance Dashboard (f/m/x)","111175.0","Adevinta","aws"
85219,"BI & Data Analyst - Team Performance Dashboard (f/m/x)","111175.0","Adevinta","pandas"
85219,"BI & Data Analyst - Team Performance Dashboard (f/m/x)","111175.0","Adevinta","kafka"
1502899,"Sustainability Sourcing Data Analyst","111175.0","Vantiva","excel"
1502899,"Sustainability Sourcing Data Analyst","111175.0","Vantiva","power bi"
1502899,"Sustainability Sourcing Data Analyst","111175.0","Vantiva","sharepoint"
887067,"Data Analyst Senior F/H","111202.0","EPSA","c#"
887067,"Data Analyst Senior F/H","111202.0","EPSA","azure"
887067,"Data Analyst Senior F/H","111202.0","EPSA","tableau"
887067,"Data Analyst Senior F/H","111202.0","EPSA","ssis"
452745,"Security Data Analyst","111202.0","Binance","sql"
452745,"Security Data Analyst","111202.0","Binance","python"
452745,"Security Data Analyst","111202.0","Binance","r"
452745,"Security Data Analyst","111202.0","Binance","tableau"
465918,"Data Architect","163782.0","ARCHIMED","sql"
